period,method,stocks,median_r2,mean_r2,p90_r2,median_coef_l1,median_abs_mkt,median_abs_smb,median_abs_hml,median_abs_umd
2017-2019,rolling,3561,0.005577504208063688,0.009701390505971809,0.02074605284073816,0.3953581900583917,0.04587690124552763,0.10938020854436173,0.10072407015915677,0.09139782920381953
2017-2019,static,3561,0.02191464203217297,0.02991095392837734,0.06340352182303466,0.8313964077326917,0.0809051257301505,0.24732769991517384,0.2594301146048431,0.1462300701331768
2020-2022,rolling,4492,0.004722491039230836,0.00929893292783088,0.01969260658053506,0.3222365879666368,0.042606580023526575,0.09389218938628201,0.09205954450146264,0.05775458388988009
2020-2022,static,4492,0.014227870428348166,0.02240988484488274,0.04875014592638671,0.5861997281811651,0.08182204302751442,0.18460954238119942,0.160275115444099,0.10590538261948887
2023-2026YTD,rolling,5407,0.0033156732352586094,0.00516563108898469,0.009732743859704863,0.24190227432936656,0.03688944015435912,0.05231973574939604,0.0794070428499859,0.04861983470106446
2023-2026YTD,static,5407,0.01293260865413326,0.020729954405855174,0.047947277344203454,0.5086723290854867,0.07611675772999475,0.09053777391762735,0.20380570786191043,0.07750541622244494
