period,ts_code,method,obs,r2,abs_MKT,abs_SMB,abs_HML,abs_UMD,coef_l1
2017-2019,000018.SZ,static,658,0.010611065724143942,0.030657287545169054,0.2326595479156991,0.5530333412663275,0.23121474168819545,1.0475649184153912
2017-2019,000018.SZ,rolling,658,0.005863709797602423,0.06268019932877833,0.3955908594880544,0.2963841879997473,0.11534845711984891,0.8700037039364289
2017-2019,000019.SZ,static,528,0.037035198968016436,0.2038748378188716,0.2682411033344866,0.05251664944320064,0.10929035272653287,0.6339229433230917
2017-2019,000019.SZ,rolling,528,0.00619542418411001,0.002553693146055521,0.09620016847375265,0.09568595494961966,0.2628019679576732,0.457241784527101
2017-2019,000020.SZ,static,618,0.021869914985185535,0.22554381102716758,0.198340501943945,0.128374294184484,0.40804771026838843,0.960306317423985
2017-2019,000020.SZ,rolling,618,0.003765072336642472,0.009926461251122329,0.2422638683601801,0.08931650344976602,0.2738125683477799,0.6153194014088483
2017-2019,000021.SZ,static,684,0.01240903830313378,0.07594669873804458,0.33590806255319405,0.26142895074279776,0.15075729866076631,0.8240410106948028
2017-2019,000021.SZ,rolling,684,0.004128997600787221,0.04226444965674375,0.12800001473918107,0.0509129764508637,0.10412610400746684,0.3253035448542554
2017-2019,000022.SZ,static,277,0.0034128163388152943,0.03825858639604718,0.0394637023730138,0.16456125841136088,0.02382334326315277,0.2661068904435746
2017-2019,000022.SZ,rolling,277,0.004756457499608291,0.11060754401870734,0.0691111383831831,0.27053891252265644,0.011020930186852608,0.4612785251113995
2017-2019,000023.SZ,static,644,0.019692602154082084,0.22044582270976207,0.12309262048698351,0.26989068282525025,0.3572153394035835,0.9706444654255794
2017-2019,000023.SZ,rolling,644,0.0031897161973327703,0.027352016710878467,0.0001039473115134735,0.2446968342313689,0.16074600903850886,0.4328988072922697
2017-2019,000025.SZ,static,679,0.009677805468975675,0.07310324430857679,0.3564156199221141,0.30933406564494026,0.08404976720637944,0.8229026970820107
2017-2019,000025.SZ,rolling,679,0.007968689331466994,0.0038286825297549412,0.19796011822433857,0.34963856234088697,0.34498966925111885,0.8964170323460993
2017-2019,000026.SZ,static,685,0.009847755454941098,0.10075516995707828,0.035106338569872546,0.1081266783671686,0.06915210396219307,0.3131402908563125
2017-2019,000026.SZ,rolling,685,0.005537742309029925,0.005789749358392023,0.17294429181868706,0.015854178529037827,0.03716284438847635,0.23175106409459328
2017-2019,000027.SZ,static,685,0.0678007519480972,0.12197595170720112,0.31397972215382686,0.26201829431313006,0.21895600977904886,0.9169299779532069
2017-2019,000027.SZ,rolling,685,0.00432407189372086,0.00923750658874628,0.08518992235697093,0.007482179547924796,0.03833849978606028,0.14024810827970227
2017-2019,000028.SZ,static,665,0.039282843063733086,0.004881859799437893,0.23296282170014107,0.6268961369568314,0.07152117019200122,0.9362619886484116
2017-2019,000028.SZ,rolling,665,0.0012030710733619276,0.015181513135402652,0.02290017176913287,0.08807207021769874,0.047621008136606816,0.17377476325884106
2017-2019,000030.SZ,static,685,0.0427526799123662,0.15182810758691076,0.24732769991517384,0.15471201344277075,0.3248371138629307,0.878704934807786
2017-2019,000030.SZ,rolling,685,0.007150225927746501,0.06698019175884001,0.034597138416248,0.0193021647785045,0.07908568222490948,0.19996517717850198
2017-2019,000031.SZ,static,500,0.021704734674128257,0.026160832068559958,0.13760493035347365,0.4249700651574413,0.12531714624383045,0.7140529738233055
2017-2019,000031.SZ,rolling,500,0.01619716074419031,0.020482113920897417,0.2766214659920137,0.05223678947029961,0.06560518402530802,0.4149455534085188
2017-2019,000032.SZ,static,559,0.013796079924934257,0.0399573678791532,0.21708965739570205,0.49363590803926793,0.07582039880074773,0.8265033321148709
2017-2019,000032.SZ,rolling,559,0.004878319157218369,0.016761707052519698,0.1795330628522377,0.2232497133917881,0.04433007467078466,0.4638745579673301
2017-2019,000034.SZ,static,413,0.010475667917696385,0.1370587513461004,0.12967849107195778,0.2960269435799568,0.33824206259902867,0.9010062485970437
2017-2019,000034.SZ,rolling,413,0.019158838079693874,0.1512318992684526,0.2583332234710516,0.16363030423979108,0.6840906800130789,1.2572861069923742
2017-2019,000035.SZ,static,456,0.023498917722053814,0.2538783716873513,0.3019007140037539,0.23420047148331655,0.0332445350673303,0.823224092241752
2017-2019,000035.SZ,rolling,456,0.005634209102090892,0.04404094173151515,0.30930292309246793,0.10670976112846603,0.026386762294159042,0.4864403882466081
2017-2019,000036.SZ,static,685,0.00730066484322256,0.09172584588785553,0.04844015765902376,0.21758247932166927,0.059007962235733465,0.416756445104282
2017-2019,000036.SZ,rolling,685,0.002568296046550511,0.024743163304896204,0.04627799140892729,0.07775333734965198,0.07064991438188649,0.21942440644536199
2017-2019,000037.SZ,static,584,0.017134457223417443,0.09378789210407204,0.25324905759264804,0.18346452785886685,0.39809495041440535,0.9285964279699923
2017-2019,000037.SZ,rolling,584,0.0012598264922903946,0.03066160285151573,0.06876799140850222,0.028107099657932677,0.10761965519079703,0.23515634910874766
2017-2019,000038.SZ,static,363,0.0038729876047779443,0.012705893925673686,0.06567564506457635,0.4601174339520087,0.2001338142859144,0.7386327872281732
2017-2019,000038.SZ,rolling,363,0.015571502973456441,0.14678467400709527,0.4771833562368639,0.48653605341962425,0.08945554843452536,1.1999596320981087
2017-2019,000039.SZ,static,685,0.08500682735881226,0.14372687350311003,0.08827431832257251,0.34091672023691066,0.2881343598738816,0.8610522719364748
2017-2019,000039.SZ,rolling,685,0.016454899758061248,0.12402967194608785,0.013177926851709784,0.09259914546200085,0.10605693946298592,0.3358636837227844
2017-2019,000040.SZ,static,654,0.013894434877505635,0.14390387895691084,0.108909052331313,0.38110303205607354,0.06968149166479229,0.7035974550090898
2017-2019,000040.SZ,rolling,654,0.00433158743894313,0.07931945013534436,0.028283706077130443,0.13616953817265678,0.18085938009594843,0.42463207448108004
2017-2019,000042.SZ,static,566,0.10147394571084478,0.22147745402750474,0.2797014499122495,0.13970366193224443,0.5595004007732314,1.2003829666452301
2017-2019,000042.SZ,rolling,566,0.012174747476402237,0.12065542899061085,0.09511761209572234,0.12923622690310452,0.19386010622577493,0.5388693742152126
2017-2019,000043.SZ,static,612,0.017635123617543047,0.1844982030594673,0.09478753116825779,0.09552061989342238,0.12671792978777024,0.5015242839089177
2017-2019,000043.SZ,rolling,612,0.022109350783420356,0.11075226850017557,0.38176609582543486,0.3341245509497466,0.05733403923348519,0.8839769545088422
2017-2019,000045.SZ,static,614,0.01932397461965596,0.03906778411636863,0.050008520280215595,0.5163388712636003,0.06930074365131006,0.6747159193114947
2017-2019,000045.SZ,rolling,614,0.009545430479546257,0.01649872830159041,0.07933165500350722,0.16212073419771666,0.2844487524342522,0.5423998699370665
2017-2019,000046.SZ,static,628,0.016423888297639522,0.0140995805809771,0.32890068974576103,0.36182464890319077,0.020481775803772403,0.7253066950337014
2017-2019,000046.SZ,rolling,628,0.007959423582014513,0.11104847923958576,0.11459311663351686,0.11399271405770926,0.10600397253600348,0.44563828246681536
2017-2019,000048.SZ,static,594,0.04874560434132991,0.2974842946326582,0.06912929942449117,0.17626399574490698,0.17308290360805806,0.7159604934101145
2017-2019,000048.SZ,rolling,594,0.004462955744148678,0.011775475751635206,0.22558855736692668,0.09896295022980861,0.011161918519105196,0.3474889018674757
2017-2019,000049.SZ,static,685,0.001481491987527228,0.0016869118177102738,0.039009407074311594,0.1527709939451687,0.023726345720284044,0.21719365855747458
2017-2019,000049.SZ,rolling,685,0.004215347261249058,0.0038777022769955183,0.026528576658948293,0.13433025980427263,0.1895286177754611,0.3542651565156775
2017-2019,000050.SZ,static,574,0.02993742068640104,0.1434365555609035,0.033033208369191824,0.3873809765817809,0.3490261439049603,0.9128768844168365
2017-2019,000050.SZ,rolling,574,0.004451794444910839,0.06565657543181533,0.02980198966726004,0.07926115514300908,0.2727902079514608,0.44750992819354524
2017-2019,000055.SZ,static,685,0.005405105848533043,0.09198239858974362,0.11071248754853442,0.00904467718881206,0.18792961058434127,0.39966917391143136
2017-2019,000055.SZ,rolling,685,0.006005225461170993,0.04102191611494926,0.10407076465562953,0.3049025248347717,0.1384697919226351,0.5884649975279856
2017-2019,000056.SZ,static,576,0.05647488335687001,0.15575574400584397,0.08870355695493025,0.6273467734488767,0.553822793452087,1.425628867861738
2017-2019,000056.SZ,rolling,576,0.020079635702982213,0.24885902076527536,0.11879613484413903,0.28921481355535095,0.18622445394518383,0.8430944231099492
2017-2019,000058.SZ,static,683,0.009747005631096095,0.08123663319860383,0.4439343228989361,0.18881201281025392,0.11373835292787358,0.8277213218356675
2017-2019,000058.SZ,rolling,683,0.0013527444913311593,0.06363709843267534,0.013778349746053756,0.13050100784288812,0.065115414144426,0.27303187016604324
2017-2019,000059.SZ,static,685,0.019679348710731404,0.0007364068649880484,0.12828292313524658,0.3354033959078925,0.03885025892275861,0.5032729848308857
2017-2019,000059.SZ,rolling,685,0.014025485251812686,0.092044333155775,0.08161234913478724,0.11018407314805309,0.03801917402910186,0.3218599294677172
2017-2019,000060.SZ,static,685,0.030325533776933367,0.009372607304015068,0.2171265451996663,0.2399754531103104,0.025209326464457393,0.4916839320784492
2017-2019,000060.SZ,rolling,685,0.010282028090210171,0.09379873061851343,0.006743050726981692,0.06710911224711488,0.05153934075259333,0.21919023434520335
2017-2019,000061.SZ,static,610,0.012603922563194536,0.0833832674932004,0.17512406633707503,0.059946469576749116,0.002496343597472434,0.3209501470044969
