trade_date,pearson,spearman
20170315,0.9937198795527397,0.9870143186504362
20170316,0.9943163858209229,0.9881908869687462
20170317,0.9944677962104105,0.9884583884161333
20170320,0.9970422203903935,0.9941604014000852
20170321,0.9970459548055361,0.9944734651255338
20170322,0.9964748797878678,0.9933154971514109
20170323,0.9964976573158589,0.9928520680913911
20170324,0.9967979093267533,0.9931464629855812
20170327,0.9970175587511646,0.9938716904197792
20170328,0.9966748902861357,0.993137594584173
20170329,0.9936874130962005,0.9868862903051324
20170330,0.9905027943948903,0.9808020115025056
20170331,0.9907455741622861,0.981236419119552
20170405,0.9906504023038194,0.9828260620985797
20170406,0.9910891008451107,0.9836484220624154
20170407,0.9916792728564809,0.98411397896043
20170410,0.988276306941522,0.9781229061312771
20170411,0.9890636180839223,0.9798842898054119
20170412,0.9905542139643573,0.980521914696565
20170413,0.9907511369014101,0.980690712219663
20170414,0.9910888982887386,0.9806786170718083
20170417,0.9910578745348113,0.9791214441634851
20170418,0.9907263810887956,0.9781631812084176
20170419,0.9893853314625336,0.9760241135424688
20170420,0.9894972311523159,0.9763839085153417
20170421,0.9909019072859926,0.9782449759928092
20170424,0.9892342919165462,0.975014407788292
20170425,0.9888781794334696,0.974641307152094
20170426,0.9883924873134315,0.9734444162488995
20170427,0.9872273451528975,0.9693155685023785
20170428,0.9870865557168271,0.970228086411528
20170502,0.9877144290195939,0.971840856512218
20170503,0.9877274072875762,0.9708940922653188
20170504,0.9882203205864815,0.9726179264965027
20170505,0.9884385280550521,0.9737093611617631
20170508,0.9888808413337052,0.974274050371878
20170509,0.9897780029521359,0.9775493126541237
20170510,0.9894554271959624,0.9768730106603077
20170511,0.9892778807541458,0.9770732310795384
20170512,0.9892204989385388,0.9773958625994215
20170515,0.9890538257704953,0.9776355229768939
20170516,0.9903792239724959,0.9798217912116258
20170517,0.9906296832481903,0.9799083824069058
20170518,0.9918636006156631,0.9815638568167797
20170519,0.9921821977901117,0.9823745359019355
20170522,0.9898169396767966,0.9772041028528832
20170523,0.9883828125805887,0.9716025150357479
20170524,0.9883713745784148,0.9720364495594377
20170525,0.9876772856213973,0.9709852608324508
20170526,0.9880824760121115,0.9723191069298777
20170531,0.9879814640981557,0.9733429495993394
20170601,0.9836794744606296,0.9642366202363665
20170602,0.9809462494634404,0.9593048760293635
20170605,0.9792038769195501,0.9567141690328824
20170606,0.9785725958674808,0.9553093112329907
20170607,0.9753240066174753,0.9495425469866415
20170608,0.9759667861520178,0.9512954265209547
