method,stocks,median_r2,mean_r2,p90_r2,median_coef_l1,median_abs_mkt,median_abs_smb,median_abs_hml,median_abs_umd
rolling,13460,0.004231204394594457,0.007745024190321111,0.015388740336764184,0.30234878344094795,0.04094419841275659,0.07433797691494098,0.08917872414083533,0.060292863127369464
static,13460,0.015585935211569202,0.02371953737998692,0.05258258030713766,0.6033552226388972,0.07935708514923193,0.1465526245198629,0.19890326264017852,0.10024093132490872
